NDB 2.0      | Nette: 2.0.18   | Time: 12.321 s | Memory: 18.3 MB | PHP: 5.6.5
NDB 2.1      | Nette: 2.1.9    | Time:  1.061 s | Memory: 17.2 MB | PHP: 5.6.5
NDB 2.2      | NDB: ~2.2.0     | Time:  1.045 s | Memory: 16.9 MB | PHP: 5.6.5
NDB 2.3      | NDB: ~2.3.0     | Time:  1.193 s | Memory: 19.1 MB | PHP: 5.6.5
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.147 s | Memory: 19.1 MB | PHP: 5.6.5
NotORM       | NotORM: dev-master | Time:  4.140 s | Memory: 13.0 MB | PHP: 5.6.5
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.062 s | Memory: 16.8 MB | PHP: 5.6.5
Doctrine2    | Doctrine: 2.4.2 | Time: 14.920 s | Memory: 37.2 MB | PHP: 5.6.5



NDB 2.0      | Nette: 2.0.18   | Time: 12.367 s | Memory: 15.8 MB | PHP: 5.6.5
NDB 2.1      | Nette: 2.1.9    | Time:  1.050 s | Memory: 14.6 MB | PHP: 5.6.5
NDB 2.2      | NDB: ~2.2.0     | Time:  1.077 s | Memory: 14.3 MB | PHP: 5.6.5
NDB 2.3      | NDB: ~2.3.0     | Time:  1.181 s | Memory: 16.6 MB | PHP: 5.6.5
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.214 s | Memory: 16.6 MB | PHP: 5.6.5
NotORM       | NotORM: dev-master | Time:  4.348 s | Memory: 13.0 MB | PHP: 5.6.5
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.036 s | Memory: 16.8 MB | PHP: 5.6.5
Doctrine2    | Doctrine: 2.4.2 | Time:  5.330 s | Memory: 35.2 MB | PHP: 5.6.5
NDB 2.0      | Nette: 2.0.18   | Time: 14.310 s | Memory: 18.2 MB | PHP: 5.4.37
NDB 2.1      | Nette: 2.1.9    | Time:  1.373 s | Memory: 17.1 MB | PHP: 5.4.37
NDB 2.2      | NDB: ~2.2.0     | Time:  1.198 s | Memory: 16.8 MB | PHP: 5.4.37
NDB 2.3      | NDB: ~2.3.0     | Time:  1.346 s | Memory: 19.1 MB | PHP: 5.4.37
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.304 s | Memory: 19.1 MB | PHP: 5.4.37
NotORM       | NotORM: dev-master | Time:  4.781 s | Memory: 13.2 MB | PHP: 5.4.37
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.238 s | Memory: 16.8 MB | PHP: 5.4.37
Doctrine2    | Doctrine: 2.4.2 | Time: 19.451 s | Memory: 37.1 MB | PHP: 5.4.37



NDB 2.0      | Nette: 2.0.18   | Time: 14.967 s | Memory: 15.7 MB | PHP: 5.4.37
NDB 2.1      | Nette: 2.1.9    | Time:  1.213 s | Memory: 14.6 MB | PHP: 5.4.37
NDB 2.2      | NDB: ~2.2.0     | Time:  1.179 s | Memory: 14.3 MB | PHP: 5.4.37
NDB 2.3      | NDB: ~2.3.0     | Time:  1.308 s | Memory: 16.5 MB | PHP: 5.4.37
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.276 s | Memory: 16.5 MB | PHP: 5.4.37
NotORM       | NotORM: dev-master | Time:  4.654 s | Memory: 13.2 MB | PHP: 5.4.37
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.193 s | Memory: 16.8 MB | PHP: 5.4.37
Doctrine2    | Doctrine: 2.4.2 | Time:  5.992 s | Memory: 35.1 MB | PHP: 5.4.37
NDB 2.0      | Nette: 2.0.18   | Time: 13.019 s | Memory: 18.2 MB | PHP: 5.5.21
