Processor: Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz | CPU: 2800.025 | RAM: 61828300 kB
First run (create cache files)
Skip: NetteDatabase (~2.0.0) needs <7.0.0, current version is 7.1.11.
NetteDatabase   | ~2.1.0          | Time:  0.885 s | Memory: 11.7 MB | PHP: 7.1.11
NetteDatabase   | ~2.2.0          | Time:  0.850 s | Memory: 11.9 MB | PHP: 7.1.11
NetteDatabase   | ~2.3.0          | Time:  0.819 s | Memory: 13.5 MB | PHP: 7.1.11
NetteDatabase   | ~2.4.0          | Time:  1.988 s | Memory: 12.3 MB | PHP: 7.1.11
NetteDatabase   | dev-master      | Time:  2.404 s | Memory: 12.3 MB | PHP: 7.1.11
Nextras\Orm     | ~1.1.0          | Time:  1.245 s | Memory: 18.0 MB | PHP: 7.1.11
YetORM          | ~8.0.0          | Time:  2.227 s | Memory: 13.0 MB | PHP: 7.1.11
LeanMapper      | ~2.2.0          | Time:  0.847 s | Memory: 10.6 MB | PHP: 7.1.11
NotORM          | dev-master      | Time:  3.109 s | Memory:  7.3 MB | PHP: 7.1.11
Doctrine2       | ~2.4.0          | Time: 10.294 s | Memory: 18.0 MB | PHP: 7.1.11


Second run (use cache)
Skip: NetteDatabase (~2.0.0) needs <7.0.0, current version is 7.1.11.
NetteDatabase   | ~2.1.0          | Time:  0.875 s | Memory:  9.6 MB | PHP: 7.1.11
NetteDatabase   | ~2.2.0          | Time:  0.852 s | Memory:  9.6 MB | PHP: 7.1.11
NetteDatabase   | ~2.3.0          | Time:  0.812 s | Memory: 11.3 MB | PHP: 7.1.11
NetteDatabase   | ~2.4.0          | Time:  2.001 s | Memory: 10.0 MB | PHP: 7.1.11
NetteDatabase   | dev-master      | Time:  3.255 s | Memory: 10.7 MB | PHP: 7.1.11
Nextras\Orm     | ~1.1.0          | Time:  1.140 s | Memory: 17.9 MB | PHP: 7.1.11
YetORM          | ~8.0.0          | Time:  2.440 s | Memory: 10.7 MB | PHP: 7.1.11
LeanMapper      | ~2.2.0          | Time:  1.054 s | Memory: 10.6 MB | PHP: 7.1.11
NotORM          | dev-master      | Time:  4.363 s | Memory:  7.3 MB | PHP: 7.1.11
Doctrine2       | ~2.4.0          | Time: 11.008 s | Memory: 16.3 MB | PHP: 7.1.11



